"OTU"	"Domain"	"Supergroup"	"Division/Kingdom"	"Phylum/Class"	"Level_X"	"Level_XX"	"Level_XXX"	"Level_XXXX"	"Level_XXXXX"	"Species"
"OTU4699"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	NA	NA	NA	NA	NA	NA
"OTU4700"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	NA	NA	NA	NA	NA	NA
"OTU4701"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Arthropoda"	"Crustacea"	"Maxillopoda"	"Paramenophia"	NA	NA	NA
"OTU4702"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Endomyxa"	"Vampyrellida"	NA	NA	NA	NA	NA
"OTU4703"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Sarcomonadea"	"Cercomonadida"	"Cercomonadidae"	"Cercomonas"	NA	NA	NA
"OTU4704"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Raphid-pennate"	NA	NA	NA	NA	NA
"OTU4705"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Endomyxa"	"Vampyrellida"	"Penardia-lineage"	NA	NA	NA	NA
"OTU4706"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Endomyxa"	"Vampyrellida"	"Penardia-lineage"	NA	NA	NA	NA
"OTU4707"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Dino-Group-I"	NA	NA	NA	NA	NA
"OTU4708"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	NA	NA	NA	NA
"OTU4709"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Suessiales"	"Suessiaceae"	"Pelagodinium"	NA	NA	NA
"OTU4710"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Raphidophyceae"	NA	NA	NA	NA	NA	NA
"OTU4711"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Coccidiomorphea"	"Marosporida"	NA	NA	NA	NA	NA
"OTU4712"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Gastrotricha"	"Chaetonotus"	NA	NA	NA	NA	NA
"OTU4713"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Novafabricia"	"labrus"	NA	NA	NA	"Novafabricia_labrus"
"OTU4714"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Novafabricia"	"labrus"	NA	NA	NA	"Novafabricia_labrus"
"OTU4715"	"Eukaryota"	"Stramenopiles"	"Sagenista"	"Labyrinthulomycetes"	"Amphifilida"	"Amphifilaceae"	NA	NA	NA	NA
"OTU4716"	"Eukaryota"	"Stramenopiles"	"Sagenista"	"Labyrinthulomycetes"	"Amphifilida"	"Amphifilaceae"	"Fibrophrys"	NA	NA	NA
"OTU4717"	"Eukaryota"	"Amoebozoa"	"Conosa"	"Variosea"	"Soliformoviids"	"Grellamoeba"	"robusta"	NA	NA	"Grellamoeba_robusta"
"OTU4718"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	NA	NA	NA	NA	NA	NA
"OTU4719"	"Eukaryota"	"Stramenopiles"	"Sagenista"	"Labyrinthulomycetes"	NA	NA	NA	NA	NA	NA
"OTU4720"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Mamiellophyceae"	"Dolichomastigales"	"Dolichomastigaceae"	"Dolichomastigaceae-B"	NA	NA	NA
"OTU4721"	"Eukaryota"	"Hacrobia"	"Cryptophyta"	"Cryptophyceae"	"Cryptomonadales"	"Hemiselmidaceae"	NA	NA	NA	NA
"OTU4722"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Thecofilosea"	"Ventricleftida"	NA	NA	NA	NA	NA
"OTU4723"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Imbricatea"	"Marimonadida"	NA	NA	NA	NA	NA
"OTU4724"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa"	"Micrometopion"	NA	NA	NA	NA	NA
"OTU4725"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Sarcomonadea"	"Cercomonadida"	"Cercomonadidae"	"Cercomonas"	NA	NA	NA
"OTU4726"	"Eukaryota"	"Stramenopiles"	"Sagenista"	"Labyrinthulomycetes"	"LAB1"	"LAB8"	NA	NA	NA	NA
"OTU4727"	"Eukaryota"	"Stramenopiles"	"Sagenista"	"Labyrinthulomycetes"	"LAB1"	"LAB8"	NA	NA	NA	NA
"OTU4728"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Porifera"	NA	NA	NA	NA	NA	NA
"OTU4729"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	NA	NA	NA	NA	NA
"OTU4730"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Paralecudinids"	NA	NA	NA	NA
"OTU4731"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Paralecudinids"	NA	NA	NA	NA
"OTU4732"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Paralecudinids"	NA	NA	NA	NA
"OTU4733"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	NA	NA	NA	NA	NA
"OTU4734"	"Eukaryota"	"Stramenopiles"	"Opalozoa"	"MAST-3"	"MAST-3J"	NA	NA	NA	NA	NA
"OTU4735"	"Eukaryota"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"OTU4736"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	"Chytridiomycotina"	"Chytridiomycetes"	NA	NA	NA	NA
"OTU4737"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	"Chytridiomycotina"	"Chytridiomycetes"	NA	NA	NA	NA
"OTU4738"	"Eukaryota"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"OTU4739"	"Eukaryota"	"Rhizaria"	"Cercozoa"	NA	NA	NA	NA	NA	NA	NA
"OTU4740"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4741"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Prolecithophora"	NA	NA	NA	NA
"OTU4742"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Prolecithophora"	"Vorticeros"	NA	NA	NA
"OTU4743"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Prolecithophora"	"Vorticeros"	NA	NA	NA
"OTU4744"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Bivalvia"	"Ostreoida"	"Ostrea"	NA	NA	NA
"OTU4745"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Bivalvia"	"Heteroconchia"	"Hiatella"	NA	NA	NA
"OTU4746"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Bivalvia"	"Mytiloida"	NA	NA	NA	NA
"OTU4747"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Bivalvia"	"Mytiloida"	NA	NA	NA	NA
"OTU4748"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	"Pellioditis"	NA	NA	NA	NA
"OTU4749"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4750"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4751"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4752"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4753"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4754"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4755"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4756"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4757"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4758"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
"OTU4759"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Nematoda"	"Chromadorea"	NA	NA	NA	NA	NA
